# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu Jun  6 20:26:53 2024
#
# User preference: *
#
# CONSTRAINT:  order by pl_insol desc
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN disposition:    Archive Disposition
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_trandur:     Transit Duration [hours]
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_kepmag:      Kepler Magnitude
#
pl_name,hostname,disposition,pl_orbper,pl_orbsmax,pl_rade,pl_insol,pl_eqt,pl_trandur,st_teff,st_rad,st_mass,st_met,st_logg,sy_dist,sy_kepmag
K2-399 b,K2-399,CONFIRMED,0.75997580,,12.547,9668.66,2529,0.9747350,5690.20,1.66,,,4.00,515.4910000,12.310
EPIC 211436876.01,EPIC 211436876,CANDIDATE,1.15240000,0.012500,0.675,8270.03,,,5992.00,1.06,0.99,-0.095,4.39,374.5340000,12.302
HD 80653 b,HD 80653,CONFIRMED,0.71957121,,1.611,6635.86,2302,1.7575219,5910.00,1.26,,,4.27,109.8600000,9.438
WASP-118 b,WASP-118,CONFIRMED,4.04606440,,18.285,6586.47,2509,5.8240000,6404.00,1.81,,,4.03,376.6580000,10.934
HD 80653 b,HD 80653,CONFIRMED,0.71957300,0.016610,1.613,6130.00,2463,,5959.00,1.22,1.18,0.255,,109.8600000,9.438
WASP-47 e,WASP-47,CONFIRMED,0.78951800,0.016730,1.640,4895.00,,1.8700000,5950.00,1.10,1.00,,4.32,264.7800000,11.762
EPIC 220674823 b,EPIC 220674823,CONFIRMED,0.57129200,0.013260,1.725,4670.00,2300,,5532.00,0.99,0.95,0.110,,244.5900000,11.958
EPIC 211315836.01,EPIC 211315836,CANDIDATE,1.38517136,,6.135,4355.44,2072,0.8604094,6294.00,1.45,,,4.20,571.4470000,12.380
EPIC 220674823 b,EPIC 220674823,CONFIRMED,0.57133600,0.013120,1.820,4293.00,2063,1.7900000,5496.00,0.95,0.92,0.060,4.42,244.5900000,11.958
K2-60 b,K2-60,CONFIRMED,3.00262150,,14.067,4289.27,2254,3.5950000,5630.00,1.45,,,4.11,491.8700000,12.590
