# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu Jun  6 20:27:19 2024
#
# User preference: *
#
# COLUMN kepid:          KepID
# COLUMN kepoi_name:     KOI Name
# COLUMN kepler_name:    Kepler Name
# COLUMN koi_disposition: Exoplanet Archive Disposition
# COLUMN koi_period:     Orbital Period [days]
# COLUMN koi_duration:   Transit Duration [hrs]
# COLUMN koi_prad:       Planetary Radius [Earth radii]
# COLUMN koi_sma:        Orbit Semi-Major Axis [au]
# COLUMN koi_teq:        Equilibrium Temperature [K]
# COLUMN koi_insol:      Insolation Flux [Earth flux]
# COLUMN koi_steff:      Stellar Effective Temperature [K]
# COLUMN koi_slogg:      Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN koi_smet:       Stellar Metallicity [dex]
# COLUMN koi_srad:       Stellar Radius [Solar radii]
# COLUMN koi_smass:      Stellar Mass [Solar mass]
# COLUMN koi_kepmag:     Kepler-band [mag]
#
kepid,kepoi_name,kepler_name,koi_disposition,koi_period,koi_duration,koi_prad,koi_sma,koi_teq,koi_insol,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,koi_kepmag
10797460,K00752.01,Kepler-227 b,CONFIRMED,9.488035570,2.95750,2.26,0.0853,793.0,93.59,5455.00,4.467,0.1400,0.9270,0.9190,15.347
10797460,K00752.02,Kepler-227 c,CONFIRMED,54.418382700,4.50700,2.83,0.2734,443.0,9.11,5455.00,4.467,0.1400,0.9270,0.9190,15.347
10811496,K00753.01,,CANDIDATE,19.899139950,1.78220,14.60,0.1419,638.0,39.30,5853.00,4.544,-0.1800,0.8680,0.9610,15.436
10848459,K00754.01,,FALSE POSITIVE,1.736952453,2.40641,33.46,0.0267,1395.0,891.96,5805.00,4.564,-0.5200,0.7910,0.8360,15.597
10854555,K00755.01,Kepler-664 b,CONFIRMED,2.525591777,1.65450,2.75,0.0374,1406.0,926.16,6031.00,4.438,0.0700,1.0460,1.0950,15.509
10872983,K00756.01,Kepler-228 d,CONFIRMED,11.094320540,4.59450,3.90,0.0992,835.0,114.81,6046.00,4.486,-0.0800,0.9720,1.0530,15.714
10872983,K00756.02,Kepler-228 c,CONFIRMED,4.134435120,3.14020,2.77,0.0514,1160.0,427.65,6046.00,4.486,-0.0800,0.9720,1.0530,15.714
10872983,K00756.03,Kepler-228 b,CONFIRMED,2.566588970,2.42900,1.59,0.0374,1360.0,807.74,6046.00,4.486,-0.0800,0.9720,1.0530,15.714
6721123,K00114.01,,FALSE POSITIVE,7.361789580,5.02200,39.21,0.0820,1342.0,767.22,6227.00,3.986,0.0000,1.9580,1.3580,12.660
10910878,K00757.01,Kepler-229 c,CONFIRMED,16.068646740,3.53470,5.76,0.1158,600.0,30.75,5031.00,4.485,0.1600,0.8480,0.8010,15.841
11446443,K00001.01,Kepler-1 b,CONFIRMED,2.470613377,1.74319,13.04,0.0354,1339.0,761.46,5820.00,4.457,-0.0600,0.9640,0.9710,11.338
10666592,K00002.01,Kepler-2 b,CONFIRMED,2.204735417,3.88864,16.10,0.0376,2048.0,4148.92,6440.00,4.019,0.1400,1.9520,1.4490,10.463
6922244,K00010.01,Kepler-8 b,CONFIRMED,3.522498429,3.19843,14.59,0.0473,1521.0,1264.67,6225.00,4.169,-0.0400,1.4510,1.1320,13.563
10984090,K00112.02,Kepler-466 c,CONFIRMED,3.709214104,2.63020,1.16,0.0465,1206.0,500.46,5833.00,4.407,-0.0400,1.0220,0.9740,12.772
10419211,K00742.01,,FALSE POSITIVE,11.521446064,3.63990,150.51,0.0978,753.0,75.88,5795.00,4.554,-0.2000,0.8480,0.9380,15.472
