# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu May 30 18:42:55 2024
#
# User preference: *
#
# CONSTRAINT:  order by tfopwg_disp asc
#
# COLUMN toi:            TESS Object of Interest
# COLUMN tid:            TESS Input Catalog ID
# COLUMN tfopwg_disp:    TFOPWG Dispostion (CP | FP | KP | PC)
# COLUMN ra:             RA [deg]
# COLUMN dec:            Dec [deg]
# COLUMN st_pmra:        PMRA [mas/yr]
# COLUMN st_pmdec:       PMDec [mas/yr]
# COLUMN pl_tranmid:     Planet Transit Midpoint Value [BJD]
# COLUMN pl_orbper:      Planet Orbital Period Value [days]
# COLUMN pl_trandurh:    Planet Transit Duration Value [hours]
# COLUMN pl_trandep:     Planet Transit Depth Value [ppm]
# COLUMN pl_rade:        Planet Radius Value [R_Earth]
# COLUMN pl_insol:       Planet Insolation Value [Earth flux]
# COLUMN pl_eqt:         Planet Equilibrium Temperature Value [K]
# COLUMN st_tmag:        TESS Magnitude
# COLUMN st_dist:        Stellar Distance [pc]
# COLUMN st_teff:        Stellar Effective Temperature Value [K]
# COLUMN st_logg:        Stellar log(g) Value [cm/s**2]
# COLUMN st_rad:         Stellar Radius Value [R_Sun]
#
toi,tid,tfopwg_disp,ra,dec,st_pmra,st_pmdec,pl_tranmid,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_tmag,st_dist,st_teff,st_logg,st_rad
278.01,244161191,,4.8835620,-5.9115610,108.1440000,-68.1770000,2458381.7755260,0.2987310,0.6216205,6605.1029307,2.5268622,188.3313320,944.8228634,13.1672000,44.3970000,2955.0000000,5.1352700,0.3006390
6697.01,441546821,,197.3171240,-60.3084350,-39.6100000,-20.1320000,2459339.0372690,16.4361731,14.6473924,2626.7704894,8.1052869,192.2293196,949.6742375,7.7897000,95.3906000,6613.0000000,4.2300000,1.4927000
1012.01,427508467,APC,117.0952850,6.7850640,-2.9900000,-0.0290000,2459252.5095950,0.8841820,1.6210000,1890.0000000,24.8132000,112144.0000000,5098.0000000,8.1271800,295.9590000,8928.0000000,3.9200000,2.7200000
1039.01,461867584,APC,149.6885450,-58.7604530,-6.4340000,4.0980000,2460031.2166000,4.4201250,3.9560000,2466.0000000,,,,8.5483000,2864.3400000,,,
1060.01,101230735,APC,299.2909950,-48.9344760,2.2240000,-14.6040000,2460149.5362260,2.0685633,0.3730000,502.0000000,3.8973900,24.4090000,619.0000000,9.6652000,128.4910000,5687.9000000,4.6000000,1.1400000
1085.01,381979901,APC,77.6053990,-59.5356640,1.5840000,17.7110000,2460041.1750970,3.2541181,4.3410000,13620.0000000,14.9476000,1436.4500000,,11.6577000,444.0660000,6102.0000000,4.2864900,1.2800000
1094.01,136274063,APC,230.4988270,-53.8196010,-2.7180000,-4.8960000,2459360.1605360,0.5971314,0.4680000,910.0000000,9.0838200,1596.4300000,1760.0000000,9.9806000,426.0030000,7710.0000000,3.9800000,2.2800000
1114.01,409934330,APC,302.1477280,-71.5524430,4.3000000,12.5000000,2460148.6161950,2.4887726,2.6320000,4852.0000000,,773.3029498,1344.9531805,8.1129000,174.4750000,8048.0000000,4.4380000,
1115.01,379286801,APC,283.3018430,-54.9108060,-3.7580000,-12.9160000,2458658.3274700,4.4519900,2.1090000,8483.3800000,15.8858000,1013.7400000,1571.0000000,10.5260000,359.2150000,6708.3000000,4.2000000,1.5700000
1119.01,261369656,APC,292.6048150,-46.2780740,19.1360000,-29.0920000,2458666.5219900,10.9566300,3.5880000,3830.0000000,23.9726000,619.0650000,1389.0000000,10.5024000,421.5180000,6456.0000000,3.9200000,2.0700000
1123.01,469782185,APC,292.3915050,-37.3040090,-20.5190000,1.5690000,2458658.0408700,1.2092800,1.8860000,11883.8000000,15.1764000,,,10.2398000,161.9320000,5159.8000000,4.2300000,1.2700000
1124.01,128790976,APC,300.2129280,-43.9825290,57.2830000,-119.1950000,2460149.3917580,3.5187707,2.4080000,5634.0000000,14.0061000,2000.0100000,1863.0000000,7.2235000,75.7145000,6690.0000000,4.2400000,1.4900000
1149.01,117789567,APC,300.7740160,26.8920250,3.5380000,1.4630000,2459770.3307840,2.3202418,2.3817612,5082.9417064,,22262.0513573,3115.3801229,7.9172000,632.5530000,8737.5000000,,
1153.01,154840461,APC,182.6915620,85.7050760,-14.1940000,-2.2750000,2460339.4611230,6.0360697,1.8050000,689.0000000,8.5117500,1240.8900000,1653.0000000,8.4053400,147.1340000,6528.3000000,4.2100000,1.6900000
1179.01,148914726,APC,187.0558970,67.2400430,-6.5780000,13.8230000,2459635.8695450,1.2615293,1.1243955,2614.9223065,4.7215300,708.1837649,1315.6980807,10.1313000,86.4440000,4927.9000000,4.5700000,0.7751230
1186.01,289539327,APC,251.6334650,65.7150350,-23.0700000,31.1420000,2460356.8278720,11.2461278,7.3500000,8050.0000000,18.3827000,378.2700000,1228.0000000,9.9240200,294.8500000,6115.7000000,3.8900000,2.0100000
1190.01,287196418,APC,292.7341320,59.4038530,0.9830000,0.4920000,2460346.9653040,3.6950125,4.3160000,7777.0000000,14.7543000,2029.3200000,1869.0000000,9.8052900,280.9480000,7106.7000000,4.2000000,1.6300000
1192.01,158276040,APC,286.5500560,44.0808000,-6.9400000,-18.9100000,2459422.3368570,735.0447180,3.8560000,14570.0000000,32.3005000,46.3232000,,10.4999000,283.0250000,6479.3000000,,1.2800000
121.01,207081058,APC,331.8675170,-41.8155110,49.5610000,-9.6780000,2459074.3291100,14.7741056,5.5040000,15041.0000000,15.3936000,123.5220000,928.0000000,9.9358000,182.1690000,6053.0000000,4.3135000,1.2300000
1220.01,319259194,APC,71.6507790,-78.5616050,16.2290000,4.7710000,2458439.5811820,70.3606608,1.3646685,1566.5537518,10.5351973,52.1125371,685.2598769,9.5298000,273.6980000,6308.0000000,3.9867900,2.0982201
1229.01,140760434,APC,74.1303960,-74.9203330,9.2600000,26.1320000,2459970.4916440,31.8132264,11.2567164,11479.3755470,21.6314984,48.4375724,672.8454841,10.7790000,254.5840000,6028.8400000,3.9619900,1.9889300
124.01,29831208,APC,66.5826300,-67.8063540,7.8880000,32.6530000,2460042.1995130,1.8428078,1.4490000,1950.0000000,21.2705000,1687.8300000,1785.0000000,11.1311000,809.2520000,5080.0000000,4.4815900,4.0900000
