# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu May 30 19:37:55 2024
#
# User preference: *
#
# CONSTRAINT:  order by ttv_flag asc
#
# COLUMN pl_name:        Planet Name
# COLUMN disposition:    Archive Disposition
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_masse:       Planet Mass [Earth Mass]
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_tranmid:     Transit Midpoint [days]
# COLUMN ttv_flag:       Data show Transit Timing Variations
# COLUMN pl_trandur:     Transit Duration [hours]
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_lum:         Stellar Luminosity [log(Solar)]
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_dens:        Stellar Density [g/cm**3]
# COLUMN ra:             RA [deg]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_vmag:        V (Johnson) Magnitude
#
pl_name,disposition,sy_snum,sy_pnum,pl_orbper,pl_rade,pl_masse,pl_dens,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,pl_tranmid,ttv_flag,pl_trandur,st_teff,st_rad,st_mass,st_met,st_lum,st_logg,st_dens,ra,dec,sy_dist,sy_vmag
BD+20 594 b,CONFIRMED,1,1,41.68550000,2.578,22.24810,,0.000000,,,89.550,,0,,5766.00,1.08,1.67,-0.150,,4.50,1.8900,53.6511231,20.5990205,179.4610000,10.8490000
BD+20 594 b,CONFIRMED,1,1,41.68550000,2.230,16.30000,7.89000,0.000000,,546,89.550,2457151.902100,0,,5766.00,0.93,0.96,-0.150,-0.056,4.50,1.7000,53.6511231,20.5990205,179.4610000,10.8490000
BD+20 594 b,CONFIRMED,1,1,41.68864400,2.355,,,,,,89.526,2457068.528770,0,,5703.00,0.96,0.96,-0.060,,4.38,,53.6511231,20.5990205,179.4610000,10.8490000
EPIC 201111557.01,CANDIDATE,1,0,2.30183000,1.120,,,,,1054,,2457583.168800,0,1.9008000,4616.52,0.76,0.73,-0.030,-0.623,4.54,2.3206,183.8462454,-6.2683289,97.1795000,11.7270000
EPIC 201111557.01,CANDIDATE,1,0,2.30236800,1.313,,,,,,87.444,2457583.162060,0,,4720.00,0.71,,-0.060,,4.50,,183.8462454,-6.2683289,97.1795000,11.7270000
EPIC 201126503.01,CANDIDATE,1,0,1.19474880,4.190,,,,,,,2456810.382000,0,1.9300000,3919.00,0.57,,,,,,175.9385954,-5.8733592,290.0620000,19.2100000
EPIC 201127519.01,CANDIDATE,1,0,6.17836900,9.913,,,,,,88.797,2457585.551310,0,,5015.00,0.79,,0.240,,4.67,,181.3718091,-5.8482738,117.7040000,11.7330000
EPIC 201127519.01,CANDIDATE,1,0,6.17887000,8.840,,,,,772,,2457585.547300,0,2.5008000,4719.28,0.85,0.76,0.213,-0.492,4.46,1.7390,181.3718091,-5.8482738,117.7040000,11.7330000
EPIC 201147085.01,CANDIDATE,1,0,1.17589000,0.860,,,,,,,2456810.740600,0,1.2480000,,0.31,,,,,,173.9026640,-5.3646120,166.5844000,16.6400000
EPIC 201152065.01,CANDIDATE,1,0,10.69660000,1.450,,,,,,,2456817.314700,0,3.2400000,,0.59,,,,,,173.0432884,-5.2471672,212.2910000,14.3460000
EPIC 201160662.01,CANDIDATE,1,0,1.53741150,45.000,,,,,,,2456810.497140,0,2.3808000,,1.60,,,,,,174.9978388,-5.0404536,666.2300000,12.3820000
EPIC 201164625.01,CANDIDATE,1,0,2.71189000,4.340,,,,,2336,,2457583.136200,0,3.1008000,6402.00,3.17,1.28,,1.181,3.54,0.0568,181.5936878,-4.9467043,1032.4200000,11.4610000
EPIC 201166680.01,CANDIDATE,1,2,18.10549000,2.100,,,,,,88.945,2457598.193300,0,,6213.00,1.22,,0.140,,4.32,,181.1211419,-4.8991358,266.8640000,10.9710000
EPIC 201170410.02,CONFIRMED,1,1,6.79870000,1.047,,,0.000000,,,89.002,2456813.148500,0,,3648.00,0.28,0.29,-0.048,,5.00,,170.1408561,-4.8070039,,17.6984000
EPIC 201176672.01,CANDIDATE,1,0,79.99990000,10.200,,,,,,,2456877.804600,0,11.7504000,4542.00,0.51,,,,4.75,,169.1498727,-4.6564416,333.4600000,14.2580000
EPIC 201176672.02,CANDIDATE,1,0,,30.000,,,,,,,2456877.803800,0,14.4720000,,0.71,,,,,,169.1498727,-4.6564416,333.4600000,14.2580000
EPIC 201180665.01,CANDIDATE,1,0,17.77297000,26.440,,,,,830,,2457586.498600,0,2.8992000,5847.00,1.25,1.06,,0.219,4.27,0.7573,184.1697015,-4.5603949,601.2650000,13.3270000
EPIC 201182911.01,CANDIDATE,1,0,0.99656225,32.800,,,,,,,2456811.090000,0,2.2600000,3727.00,0.50,,,,,,172.7104166,-4.5075924,335.6320000,16.2260000
EPIC 201197348.01,CANDIDATE,1,0,14.91390000,3.240,,,,,,,2456825.110800,0,3.2640000,,0.65,,,,,,177.0948891,-4.1644059,360.1030000,15.5370000
EPIC 201197348.01,CANDIDATE,1,0,14.91238100,3.550,,,,,,,2456825.111000,0,3.0300000,4224.00,0.65,,,,,,177.0948891,-4.1644059,360.1030000,15.5370000
EPIC 201231940.01,CANDIDATE,1,0,0.57303573,3.350,,,,,,,2456810.511000,0,0.3200000,3570.00,0.43,,,,,,174.1207146,-3.4828286,1138.6400000,18.7800000
EPIC 201238110 b,CONFIRMED,1,1,28.16560000,1.870,,,,,,,2456852.657200,0,,,,0.41,,,,,179.7058532,-3.3894613,159.2590000,16.0140000
EPIC 201238110 b,CONFIRMED,1,1,28.16960000,2.200,,,,,,,2456824.483600,0,3.3600000,,0.37,,,,,,179.7058532,-3.3894613,159.2590000,16.0140000
EPIC 201238110.01,CANDIDATE,1,1,7.90696060,3.020,,,,,,,2456813.675000,0,1.7300000,3772.00,0.52,,,,,,179.7058532,-3.3894613,159.2590000,16.0140000
EPIC 201238110.01,CANDIDATE,1,1,7.90417000,2.060,,,,,,,2456813.689500,0,1.9200000,,0.37,,,,,,179.7058532,-3.3894613,159.2590000,16.0140000
EPIC 201238163.01,CANDIDATE,1,0,1.08296140,1.560,,,,,,,2456810.366000,0,1.2200000,3875.00,0.56,,,,,,173.2627978,-3.3887192,299.4060000,15.6570000
EPIC 201239401.01,CANDIDATE,1,0,0.90565500,1.570,,,,,,,2456810.937200,0,1.4880000,,0.58,,,,,,173.0528796,-3.3703210,190.0750000,15.7310000
EPIC 201239401.01,CANDIDATE,1,0,0.90552205,1.520,,,,,,,2456810.944000,0,1.3200000,3710.00,0.50,,,,,,173.0528796,-3.3703210,190.0750000,15.7310000
EPIC 201247497.01,CANDIDATE,1,0,2.75411290,4.870,,,,,,,2456810.901000,0,1.2400000,3834.00,0.55,,,,,,177.9464521,-3.2460183,793.1310000,17.3749000
EPIC 201247497.01,CANDIDATE,1,0,2.75421000,8.400,,,,,,,2456810.899900,0,1.3200000,,0.89,,,,,,177.9464521,-3.2460183,793.1310000,17.3749000
EPIC 201247497.01,CANDIDATE,1,0,2.75391000,3.780,,,,,,,2456810.903100,0,1.0296000,3918.00,0.44,,,,4.85,,177.9464521,-3.2460183,793.1310000,17.3749000
EPIC 201257461.01,FALSE POSITIVE,1,0,50.28586900,3.470,,,,,,,2456828.355000,0,12.6200000,4859.00,0.74,,,,,,178.1611264,-3.0949095,829.2480000,11.6680000
EPIC 201257461.01,FALSE POSITIVE,1,0,50.27762000,209.520,,,,,1466,,2456828.373500,0,,5141.00,10.96,,-0.210,,,,178.1611264,-3.0949095,829.2480000,11.6680000
EPIC 201258341.01,CANDIDATE,1,0,10.50439000,1.750,,,,,,,2456818.918500,0,3.3840000,,0.88,,,,,,178.6905819,-3.0828192,84.9470000,9.9960000
EPIC 201259803.01,CANDIDATE,1,0,1.68420800,5.510,,,,,,,2456810.892930,0,1.3224000,,0.43,,,,,,170.3822570,-3.0610326,325.6360000,16.8090000
EPIC 201264302.01,CANDIDATE,1,0,0.21219899,1.050,,,,,,,2456810.278000,0,0.5200000,3468.00,0.37,,,,,,169.5971097,-2.9913978,71.8937000,14.8980000
EPIC 201264302.01,CANDIDATE,1,0,0.21219400,0.770,,,,,,83.300,2456812.400150,0,,3299.00,0.26,,0.155,,5.11,,169.5971097,-2.9913978,71.8937000,14.8980000
EPIC 201264302.01,CANDIDATE,1,0,0.21220130,0.519,,,,,,,2456810.489800,0,0.6240000,,0.19,,,,,,169.5971097,-2.9913978,71.8937000,14.8980000
EPIC 201270176.01,CANDIDATE,1,0,1.57771549,,,,,,,,2456818.326995,0,3.0860000,5163.00,1.16,0.87,,-0.068,4.25,0.7943,170.1325248,-2.9026339,290.8830000,12.6050000
EPIC 201270176.01,CANDIDATE,1,0,1.57786430,7.550,,,,,,,2456810.434000,0,3.0200000,4811.00,0.73,,,,,,170.1325248,-2.9026339,290.8830000,12.6050000
EPIC 201270464.01,CANDIDATE,1,0,1.57771549,,,,,,,,2456818.327691,0,2.9930000,7333.00,2.57,1.66,,1.235,3.84,0.1383,170.1334170,-2.8982132,307.7840000,9.1200000
EPIC 201274010.01,CANDIDATE,1,0,13.01130000,2.430,,,,,713,,2457589.515000,0,2.2008000,5347.00,0.88,0.92,,-0.244,4.51,1.9019,183.3092954,-2.8441860,501.2570000,14.0030000
EPIC 201291843.01,CANDIDATE,1,0,40.70206194,,,,,,,,2456823.294921,0,1.6210000,3759.00,0.57,0.57,,-1.229,4.67,4.2393,178.4203490,-2.5717754,118.9590000,14.4180000
EPIC 201299088.01,CANDIDATE,1,0,21.20473900,9.110,,,,,,83.490,2457600.342910,0,,5154.00,1.76,,-0.260,,3.91,,182.2046312,-2.4646145,573.9910000,11.9650000
EPIC 201324549.01,FALSE POSITIVE,1,0,2.51940390,7.657,,,,219.34,,,2460284.250850,0,1.1130000,6380.00,1.76,,,,,,171.2359519,-2.0851597,476.8840000,12.2930000
EPIC 201324549.01,FALSE POSITIVE,1,0,2.51933400,3.910,,,,,,,2456809.993530,0,1.5451200,6283.00,1.45,,,,4.17,,171.2359519,-2.0851597,476.8840000,12.2930000
EPIC 201324549.01,FALSE POSITIVE,1,0,2.51940780,7.990,,,,,,,2456812.512000,0,1.2400000,7119.00,1.72,,,,,,171.2359519,-2.0851597,476.8840000,12.2930000
EPIC 201324549.01,FALSE POSITIVE,1,0,2.51881781,,,,,,,,2456820.075966,0,1.5800000,6380.00,1.76,,-0.670,,,,171.2359519,-2.0851597,476.8840000,12.2930000
EPIC 201324549.01,FALSE POSITIVE,1,0,2.51938600,19.600,,,,,,,2456812.512110,0,1.5840000,,2.03,,,,,,171.2359519,-2.0851597,476.8840000,12.2930000
EPIC 201352100.01,CANDIDATE,1,0,13.38382000,2.700,,,,,608,,2457594.789500,0,2.2008000,5113.71,0.66,0.86,0.192,-0.572,4.73,4.2225,184.0351247,-1.6737612,194.1950000,13.0020000
EPIC 201352100.01,CANDIDATE,1,0,13.38362900,2.873,,,,,,89.247,2457594.792040,0,,5216.00,0.82,,0.160,,4.70,,184.0351247,-1.6737612,194.1950000,13.0020000
EPIC 201357835.01,CANDIDATE,1,0,11.89510000,,,,,,,,2457611.337100,0,,5040.00,0.68,,,,,,185.1812113,-1.5883337,449.7900000,12.7880000
EPIC 201359834.01,CANDIDATE,1,0,40.14010000,20.800,,,,,,,2456838.652810,0,3.0240000,,0.72,,,,,,173.1750869,-1.5587834,342.5960000,16.1530000
EPIC 201366540.01,CANDIDATE,1,0,7.44330000,2.730,,,,,,,2456810.646800,0,1.6320000,,0.72,,,,,,168.7367646,-1.4622181,328.8710000,15.3740000
EPIC 201390927.01,CANDIDATE,1,0,2.63800000,2.910,,,,,1313,,2457583.340900,0,1.6992000,4264.47,,,0.078,,,,184.5853275,-1.0989451,,14.8720000
EPIC 201392505.01,CANDIDATE,1,0,27.47083000,3.360,,,,,480,,2457592.079500,0,5.5008000,4947.03,0.75,0.81,-0.202,-0.518,4.60,2.7083,183.1884790,-1.0748315,273.7730000,13.6870000
EPIC 201407812.01,CANDIDATE,1,0,2.82681210,40.100,,,,,,,2456812.488000,0,6.8000000,5736.00,0.98,,,,,,174.0440867,-0.8407078,649.6660000,12.1370000
EPIC 201427007 b,CONFIRMED,1,1,0.72091000,1.500,,,,,,88.500,2457625.794300,0,,5633.00,0.94,,-0.053,,4.40,,184.6021322,-0.5512886,706.3910000,14.3210000
EPIC 201441872.01,CANDIDATE,1,0,4.44164210,1.170,,,,,,,2456812.872000,0,2.7400000,5547.00,0.90,,,,,,173.6002346,-0.3345702,243.0840000,11.8380000
EPIC 201441872.01,CANDIDATE,1,0,4.44044000,1.320,,,,,,,2456812.884100,0,2.7120000,,1.05,,,,,,173.6002346,-0.3345702,243.0840000,11.8380000
EPIC 201441872.01,CANDIDATE,1,0,4.44125800,1.124,,,,,,87.001,2456812.871290,0,,5450.00,0.83,,-0.130,,4.54,,173.6002346,-0.3345702,243.0840000,11.8380000
EPIC 201445732.01,CANDIDATE,1,0,11.20381000,2.180,,,,,,,2456817.492600,0,1.1328000,,1.10,,,,,,170.6512345,-0.2798534,325.8490000,12.2380000
EPIC 201456770.01,CANDIDATE,1,0,8.00687500,2.384,,,,,,,2457586.039304,0,2.5000000,5403.00,0.85,0.90,-0.047,,4.54,,185.6973984,-0.1218824,511.5810000,14.2850000
EPIC 201488365.01,CANDIDATE,1,0,3.36431150,85.600,,,,,,,2456812.224000,0,7.4000000,6240.00,1.32,,,,,,168.1874780,0.3478732,147.3520000,8.4500000
EPIC 201497682 b,CONFIRMED,1,1,2.13174000,0.692,,,,,,,2456850.026300,0,,,,0.78,,,,,168.9366786,0.4880606,253.0260000,13.9480000
EPIC 201497682.01,CANDIDATE,1,1,13.83781400,1.960,,,,,,,2456820.957000,0,2.8400000,4535.00,0.70,,,,,,168.9366786,0.4880606,253.0260000,13.9480000
EPIC 201497682.01,CANDIDATE,1,1,13.83940000,1.290,,,,,,,2456820.955500,0,2.5200000,,0.55,,,,,,168.9366786,0.4880606,253.0260000,13.9480000
EPIC 201497682.02,CANDIDATE,1,1,7.79915860,1.570,,,,,,,2456814.271000,0,2.9400000,4535.00,0.70,,,,,,168.9366786,0.4880606,253.0260000,13.9480000
EPIC 201497682.02,CANDIDATE,1,1,7.79983000,1.370,,,,,,,2456814.267800,0,3.0000000,,0.55,,,,,,168.9366786,0.4880606,253.0260000,13.9480000
EPIC 201497682.04,CANDIDATE,1,1,3.88300000,1.060,,,,162.00,,,2456810.850000,0,2.0300000,,0.55,,,,,,168.9366786,0.4880606,253.0260000,13.9480000
EPIC 201512465.01,CANDIDATE,1,0,2.33293000,3.200,,,,,,,2456810.151600,0,1.2096000,3508.00,0.22,,,,5.06,,173.5625041,0.7138555,166.3560000,18.9600000
EPIC 201512465.01,CANDIDATE,1,0,2.33312300,2.950,,,,,,,2456812.480600,0,1.1280000,,0.22,,,,,,173.5625041,0.7138555,166.3560000,18.9600000
EPIC 201512465.01,CANDIDATE,1,0,2.33309820,5.480,,,,,,,2456812.482000,0,1.4000000,3726.00,0.50,,,,,,173.5625041,0.7138555,166.3560000,18.9600000
EPIC 201515470.01,CANDIDATE,1,0,20.20730000,2.120,,,,,,,2456822.866800,0,3.7200000,,0.76,,,,,,171.2596557,0.7613692,345.0000000,14.1480000
EPIC 201516974.01,CANDIDATE,1,0,36.70990000,,,,,,,82.600,2456819.805600,0,17.6640000,5069.12,5.34,,-0.612,,,,174.3144865,0.7829860,792.4100000,11.4960000
EPIC 201516974.01,CANDIDATE,1,0,36.76233700,3.440,,,,,,,2456819.743000,0,18.7300000,4932.00,0.75,,,,,,174.3144865,0.7829860,792.4100000,11.4960000
EPIC 201521212.01,CANDIDATE,1,0,19.56579900,6.412,,,,,,,2457905.977854,0,5.3000000,4486.00,0.85,1.19,-0.122,,4.65,,163.7158380,0.8486770,,
