# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu May 30 19:47:22 2024
#
# User preference: *
#
# COLUMN kepid:          KepID
# COLUMN kepler_name:    Kepler Name
# COLUMN koi_disposition: Exoplanet Archive Disposition
# COLUMN koi_period:     Orbital Period [days]
# COLUMN koi_eccen:      Eccentricity
# COLUMN koi_impact:     Impact Parameter
# COLUMN koi_duration:   Transit Duration [hrs]
# COLUMN koi_depth:      Transit Depth [ppm]
# COLUMN koi_ror:        Planet-Star Radius Ratio
# COLUMN koi_srho:       Fitted Stellar Density [g/cm**3]
# COLUMN koi_prad:       Planetary Radius [Earth radii]
# COLUMN koi_sma:        Orbit Semi-Major Axis [au]
# COLUMN koi_incl:       Inclination [deg]
# COLUMN koi_teq:        Equilibrium Temperature [K]
# COLUMN koi_insol:      Insolation Flux [Earth flux]
# COLUMN koi_dor:        Planet-Star Distance over Star Radius
# COLUMN koi_model_snr:  Transit Signal-to-Noise
# COLUMN koi_count:      Number of Planets
# COLUMN koi_num_transits: Number of Transits
# COLUMN koi_tce_plnt_num: TCE Planet Number
# COLUMN koi_steff:      Stellar Effective Temperature [K]
# COLUMN koi_slogg:      Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN koi_smet:       Stellar Metallicity [dex]
# COLUMN koi_srad:       Stellar Radius [Solar radii]
# COLUMN koi_smass:      Stellar Mass [Solar mass]
# COLUMN koi_sage:       Stellar Age [Gyr]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN koi_kepmag:     Kepler-band [mag]
#
kepid,kepler_name,koi_disposition,koi_period,koi_eccen,koi_impact,koi_duration,koi_depth,koi_ror,koi_srho,koi_prad,koi_sma,koi_incl,koi_teq,koi_insol,koi_dor,koi_model_snr,koi_count,koi_num_transits,koi_tce_plnt_num,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,koi_sage,ra,dec,koi_kepmag
10797460,Kepler-227 b,CONFIRMED,9.488035570,0,0.1460,2.95750,6.1580e+02,0.022344,3.20796,2.26,0.0853,89.66,793.0,93.59,24.810000,35.80,2,142,1,5455.00,4.467,0.1400,0.9270,0.9190,,291.934230,48.141651,15.347
10797460,Kepler-227 c,CONFIRMED,54.418382700,0,0.5860,4.50700,8.7480e+02,0.027954,3.02368,2.83,0.2734,89.57,443.0,9.11,77.900000,25.80,2,25,2,5455.00,4.467,0.1400,0.9270,0.9190,,291.934230,48.141651,15.347
10811496,,CANDIDATE,19.899139950,0,0.9690,1.78220,1.0829e+04,0.154046,7.29555,14.60,0.1419,88.96,638.0,39.30,53.500000,76.30,1,56,1,5853.00,4.544,-0.1800,0.8680,0.9610,,297.004820,48.134129,15.436
10848459,,FALSE POSITIVE,1.736952453,0,1.2760,2.40641,8.0792e+03,0.387394,0.22080,33.46,0.0267,67.09,1395.0,891.96,3.278000,505.60,1,621,1,5805.00,4.564,-0.5200,0.7910,0.8360,,285.534610,48.285210,15.597
10854555,Kepler-664 b,CONFIRMED,2.525591777,0,0.7010,1.65450,6.0330e+02,0.024064,1.98635,2.75,0.0374,85.41,1406.0,926.16,8.750000,40.90,1,515,1,6031.00,4.438,0.0700,1.0460,1.0950,,288.754880,48.226200,15.509
10872983,Kepler-228 d,CONFIRMED,11.094320540,0,0.5380,4.59450,1.5175e+03,0.036779,0.67324,3.90,0.0992,88.11,835.0,114.81,16.360000,66.50,3,95,1,6046.00,4.486,-0.0800,0.9720,1.0530,,296.286130,48.224670,15.714
10872983,Kepler-228 c,CONFIRMED,4.134435120,0,0.7620,3.14020,6.8600e+02,0.026133,0.37377,2.77,0.0514,83.72,1160.0,427.65,6.960000,40.20,3,240,2,6046.00,4.486,-0.0800,0.9720,1.0530,,296.286130,48.224670,15.714
10872983,Kepler-228 b,CONFIRMED,2.566588970,0,0.7550,2.42900,2.2650e+02,0.014983,0.48909,1.59,0.0374,82.17,1360.0,807.74,5.540000,15.00,3,355,3,6046.00,4.486,-0.0800,0.9720,1.0530,,296.286130,48.224670,15.714
6721123,,FALSE POSITIVE,7.361789580,0,1.1690,5.02200,2.3370e+02,0.183387,0.00485,39.21,0.0820,60.92,1342.0,767.22,2.400000,47.70,1,185,1,6227.00,3.986,0.0000,1.9580,1.3580,,298.864350,42.151569,12.660
10910878,Kepler-229 c,CONFIRMED,16.068646740,0,0.0520,3.53470,4.9143e+03,0.062161,3.66590,5.76,0.1158,89.92,600.0,30.75,36.850000,161.90,3,69,1,5031.00,4.485,0.1600,0.8480,0.8010,,286.999480,48.375790,15.841
11446443,Kepler-1 b,CONFIRMED,2.470613377,0,0.8180,1.74319,1.4231e+04,0.123871,1.83538,13.04,0.0354,84.41,1339.0,761.46,8.397700,4304.30,1,432,1,5820.00,4.457,-0.0600,0.9640,0.9710,,286.808470,49.316399,11.338
10666592,Kepler-2 b,CONFIRMED,2.204735417,0,0.2240,3.88864,6.6747e+03,0.075522,0.37936,16.10,0.0376,87.21,2048.0,4148.92,4.602000,5945.90,1,611,1,6440.00,4.019,0.1400,1.9520,1.4490,,292.247280,47.969521,10.463
6922244,Kepler-8 b,CONFIRMED,3.522498429,0,0.6310,3.19843,9.1457e+03,0.092086,0.65374,14.59,0.0473,85.20,1521.0,1264.67,7.541000,1741.50,1,384,1,6225.00,4.169,-0.0400,1.4510,1.1320,,281.288120,42.451080,13.563
10984090,Kepler-466 c,CONFIRMED,3.709214104,0,0.0510,2.63020,1.3110e+02,0.010424,1.77451,1.16,0.0465,89.73,1206.0,500.46,10.888000,50.60,2,352,2,5833.00,4.407,-0.0400,1.0220,0.9740,,295.648710,48.495560,12.772
10419211,,FALSE POSITIVE,11.521446064,0,2.4830,3.63990,1.7984e+04,1.625358,1.27376,150.51,0.0978,83.13,753.0,75.88,20.750000,622.10,1,96,1,5795.00,4.554,-0.2000,0.8480,0.9380,,297.079930,47.597401,15.472
10464078,,FALSE POSITIVE,19.403937760,0,0.8040,12.21550,8.9187e+03,0.096729,0.03785,7.18,0.1230,84.93,523.0,17.69,9.099000,214.70,1,71,1,5043.00,4.591,-0.5400,0.6800,0.6570,,289.258210,47.635319,15.487
10480982,,FALSE POSITIVE,19.221388942,0,1.0650,4.79843,7.4284e+04,0.476633,1.57359,49.29,0.1417,88.05,698.0,55.97,31.323000,2317.00,2,55,1,6117.00,4.496,-0.2200,0.9470,1.0250,,295.814540,47.690350,15.341
10485250,,FALSE POSITIVE,16.469837740,0,0.2920,9.43780,1.0479e+04,0.092509,0.19353,7.94,0.1147,88.81,595.0,29.61,14.050000,303.40,1,66,1,5152.00,4.517,-0.2000,0.7860,0.7410,,297.154420,47.668701,15.788
10526549,Kepler-660 b,CONFIRMED,9.273581730,0,0.3870,3.28750,1.2883e+03,0.032563,1.93557,2.47,0.0759,88.93,649.0,41.85,20.650000,87.20,1,144,1,4856.00,4.583,-0.3000,0.6960,0.6760,,288.138240,47.724449,15.302
10583066,Kepler-661 b,CONFIRMED,6.029303290,0,0.2580,1.58210,1.9127e+03,0.038838,13.09803,2.85,0.0585,89.50,678.0,50.04,29.310000,65.40,1,215,1,4537.00,4.648,0.2100,0.6720,0.7610,,283.710880,47.863270,15.784
10583180,,FALSE POSITIVE,2.696370652,0,0.0440,3.61290,3.9790e+02,0.017673,0.51471,1.58,0.0349,89.56,1066.0,305.34,5.827000,48.20,1,501,1,4989.00,4.504,0.1000,0.8190,0.7810,,283.765470,47.804298,15.269
10601284,Kepler-226 c,CONFIRMED,5.349553819,0,0.0920,3.02780,8.3100e+02,0.025706,1.73782,2.55,0.0563,89.62,919.0,168.99,13.801500,60.60,3,247,1,5185.00,4.440,0.1600,0.9100,0.8310,,292.376130,47.880989,15.416
10601284,Kepler-226 b,CONFIRMED,3.941052210,0,0.2260,2.59840,3.6330e+02,0.017105,1.85636,1.70,0.0460,88.88,1018.0,253.15,11.510000,28.90,3,322,2,5185.00,4.440,0.1600,0.9100,0.8310,,292.376130,47.880989,15.416
10601284,Kepler-226 d,CONFIRMED,8.109048070,0,0.0250,3.59600,2.1740e+02,0.013127,1.53020,1.30,0.0743,89.92,800.0,97.03,17.460000,14.10,3,141,3,5185.00,4.440,0.1600,0.9100,0.8310,,292.376130,47.880989,15.416
2306756,,FALSE POSITIVE,386.603052800,0,0.9765,6.80570,2.4927e+04,0.240528,4.63335,41.50,1.0719,89.95,297.0,1.84,332.000000,994.00,1,,1,5543.00,4.081,0.4400,1.5800,1.1030,,292.273740,37.671558,12.394
10662202,Kepler-662 b,CONFIRMED,21.676991930,0,0.8960,3.45550,8.5720e+02,0.032666,0.60007,2.95,0.1408,87.91,530.0,18.64,24.600000,34.30,4,62,1,4954.00,4.500,0.1800,0.8280,0.7910,,290.465120,47.929180,15.377
10682541,Kepler-663 b,CONFIRMED,4.996779680,0,0.7100,2.17170,9.3470e+02,0.030014,1.71827,2.78,0.0559,86.90,917.0,166.95,13.140000,28.20,1,208,1,5339.00,4.552,0.1800,0.8470,0.9310,,297.808260,47.946671,15.861
11460018,Kepler-671 b,CONFIRMED,4.280963604,0,0.4240,2.87500,7.5080e+02,0.025377,1.24482,2.30,0.0503,87.72,1012.0,247.87,10.640000,61.80,1,311,1,5644.00,4.564,-0.1400,0.8310,0.9280,,294.265810,49.314091,15.356
